"","year","county","pct_lbw","pct_lbw_aian","pct_lbw_asian","pct_lbw_biracial","pct_lbw_black","pct_lbw_hispanic","pct_lbw_nhopi","pct_lbw_white","tbr","tbr_aian","tbr_asian","tbr_biracial","tbr_black","tbr_hispanic","tbr_nhopi","tbr_white","num_hs_complete","pop_25plus","pct_hs_complete","num_some_college","pop_25_44","pct_some_college","pct_child_poverty","pct_child_poverty_aian","pct_child_poverty_asian","pct_child_poverty_black","pct_child_poverty_hispanic","pct_child_poverty_white","year_factor","county_factor","racial_data_available"
"93",2015,"Cullman",9.2,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,1007,19639,83,10947,19639,55.7,23,NA,NA,NA,NA,NA,"2015","Cullman","None/Limited"
"94",2015,"Dale",8.6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,522,13393,77,8283,13393,61.8,28,NA,NA,NA,NA,NA,"2015","Dale","None/Limited"
"95",2015,"Dallas",12.8,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,582,9796,72,4343,9796,44.3,50,NA,NA,NA,NA,NA,"2015","Dallas","None/Limited"
"96",2015,"DeKalb",8.6,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,815,18068,84,7211,18068,39.9,30,NA,NA,NA,NA,NA,"2015","DeKalb","None/Limited"
"97",2015,"Elmore",9,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,1121,21901,74,12234,21901,55.9,20,NA,NA,NA,NA,NA,"2015","Elmore","None/Limited"
"98",2015,"Escambia",10.9,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,421,9958,77,4454,9958,44.7,37,NA,NA,NA,NA,NA,"2015","Escambia","None/Limited"
"99",2015,"Etowah",8.5,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,1280,25925,77,13861,25925,53.5,28,NA,NA,NA,NA,NA,"2015","Etowah","None/Limited"
"100",2015,"Fayette",10,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,176,3712,78,1403,3712,37.8,30,NA,NA,NA,NA,NA,"2015","Fayette","None/Limited"
"101",2015,"Franklin",8.8,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,413,8155,86,3648,8155,44.7,36,NA,NA,NA,NA,NA,"2015","Franklin","None/Limited"
"102",2015,"Geneva",9.1,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,328,6382,83,3064,6382,48,38,NA,NA,NA,NA,NA,"2015","Geneva","None/Limited"
"103",2015,"Greene",16,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,116,1827,63,706,1827,38.6,51,NA,NA,NA,NA,NA,"2015","Greene","None/Limited"
"104",2015,"Hale",14.1,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,265,3531,71,1510,3531,42.8,39,NA,NA,NA,NA,NA,"2015","Hale","None/Limited"
"105",2015,"Henry",8.6,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,245,3926,70,2358,3926,60.1,29,NA,NA,NA,NA,NA,"2015","Henry","None/Limited"
"106",2015,"Houston",8.8,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,1055,26391,87,14592,26391,55.3,30,NA,NA,NA,NA,NA,"2015","Houston","None/Limited"
"107",2015,"Jackson",8.6,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,601,12614,83,5654,12614,44.8,28,NA,NA,NA,NA,NA,"2015","Jackson","None/Limited"
"108",2015,"Jefferson",11.4,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,8457,177506,74,117999,177506,66.5,27,NA,NA,NA,NA,NA,"2015","Jefferson","None/Limited"
