year,county,pct_lbw,pct_lbw_aian,pct_lbw_asian,pct_lbw_biracial,pct_lbw_black,pct_lbw_hispanic,pct_lbw_nhopi,pct_lbw_white,tbr,tbr_aian,tbr_asian,tbr_biracial,tbr_black,tbr_hispanic,tbr_nhopi,tbr_white,num_hs_complete,pop_25plus,pct_hs_complete,num_some_college,pop_25_44,pct_some_college,pct_child_poverty,pct_child_poverty_aian,pct_child_poverty_asian,pct_child_poverty_black,pct_child_poverty_hispanic,pct_child_poverty_white,year_factor,county_factor,racial_data_available,lbw_pct_change,hs_pct_change,poverty_pct_change,tbr_pct_change
2015,Barbour,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,334,7456,0.7,3156,7456,0.423,0.42,NA,NA,NA,NA,NA,2015,Barbour,None/Limited,-0.03252032520325206,0.14754098360655732,-0.10638297872340424,-0.013513513513513514
2015,Bibb,0.128,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,268,6106,0.8,3053,6106,0.5,0.36,NA,NA,NA,NA,NA,2015,Bibb,None/Limited,0.007874015748031503,0.0958904109589042,0.3333333333333332,0.04081632653061224
2015,Blount,0.077,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,738,14459,0.85,7113,14459,0.49200000000000005,0.27,NA,NA,NA,NA,NA,2015,Blount,None/Limited,0,0.049382716049382616,0.1739130434782609,-0.020833333333333332
2015,Bullock,0.136,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,170,3211,0.73,1147,3211,0.35700000000000004,0.44,NA,NA,NA,NA,NA,2015,Bullock,None/Limited,-0.007299270072992505,0,0.023255813953488393,0
2015,Butler,0.10800000000000001,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,307,4826,0.66,2141,4826,0.444,0.4,NA,NA,NA,NA,NA,2015,Butler,None/Limited,0.03846153846153849,-0.08333333333333326,-0.04761904761904753,0.03278688524590164
2015,Calhoun,0.087,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,1418,29228,0.82,14999,29228,0.513,0.29,NA,NA,NA,NA,NA,2015,Calhoun,None/Limited,-0.03333333333333337,0.03797468354430369,-0.06451612903225812,-0.0392156862745098
2015,Chambers,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,352,8158,0.76,3888,8158,0.47700000000000004,0.35,NA,NA,NA,NA,NA,2015,Chambers,None/Limited,0.017094017094017228,-0.050000000000000044,0,-0.047619047619047616
2015,Cherokee,0.08900000000000001,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,305,5748,0.74,3074,5748,0.535,0.32,NA,NA,NA,NA,NA,2015,Cherokee,None/Limited,0,0.027777777777777804,0.06666666666666674,0
2015,Chilton,0.098,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,568,11724,0.76,4561,11724,0.389,0.34,NA,NA,NA,NA,NA,2015,Chilton,None/Limited,0,0.041095890410958943,0.13333333333333347,0
2015,Choctaw,0.111,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,133,2945,0.78,1437,2945,0.488,0.31,NA,NA,NA,NA,NA,2015,Choctaw,None/Limited,-0.04310344827586199,0,0.03333333333333337,-0.08695652173913043
